Date,Open,High,Low,Close,Adj Close,Volume
2023-03-29,2230737.000000,2256937.250000,2192028.500000,2240473.750000,2240473.750000,1461181451865
2023-03-30,2240383.250000,2356175.500000,2239783.250000,2331816.750000,2331816.750000,1701451560846
2023-03-31,2331956.500000,2397950.250000,2276433.250000,2301574.000000,2301574.000000,1841956926096
2023-04-01,2301467.000000,2351994.250000,2268802.000000,2340380.500000,2340380.500000,1561541452856
2023-04-02,2339957.000000,2367004.750000,2325480.000000,2334837.250000,2334837.250000,893835366143
2023-04-03,2339095.000000,2343706.500000,2291553.250000,2317561.500000,2317561.500000,1009613843240
2023-04-04,2316227.750000,2343956.250000,2240900.500000,2282692.750000,2282692.750000,1606373913356
2023-04-05,2283108.000000,2336898.250000,2273760.500000,2313024.250000,2313024.250000,1255090703166
2023-04-06,2313158.500000,2359703.000000,2280795.250000,2309198.500000,2309198.500000,1397445002711
2023-04-07,2308972.500000,2309231.250000,2272095.750000,2294895.500000,2294895.500000,1132369417868
2023-04-08,2294472.250000,2300361.750000,2273954.500000,2286436.500000,2286436.500000,889302740964
2023-04-09,2285998.750000,2305595.750000,2282959.000000,2287261.500000,2287261.500000,767111902584
2023-04-10,2287635.750000,2335506.500000,2277496.750000,2320053.250000,2320053.250000,996976989481
2023-04-11,2320297.250000,2440788.250000,2312073.000000,2431074.250000,2431074.250000,1580851162409
2023-04-12,2431131.750000,2502937.750000,2427493.500000,2481401.750000,2481401.750000,1651358737155
2023-04-13,2481116.250000,2500069.250000,2437620.250000,2470228.750000,2470228.750000,1528731910507
2023-04-14,2450040.500000,2494082.000000,2449603.500000,2483024.750000,2483024.750000,1428413769654
2023-04-15,2483882.000000,2530243.750000,2461412.000000,2495138.750000,2495138.750000,1854634489260
2023-04-16,2495552.000000,2504636.250000,2475389.500000,2481332.500000,2481332.500000,977251960812
2023-04-17,2481126.250000,2500732.500000,2468183.250000,2481161.750000,2481161.750000,1052103092349
2023-04-18,2481308.250000,2481476.250000,2400955.500000,2414636.500000,2414636.500000,1465606030336
2023-04-19,2414968.500000,2498697.250000,2389866.750000,2495886.750000,2495886.750000,1599510160016
2023-04-20,2495610.500000,2496980.000000,2359929.750000,2373287.000000,2373287.000000,2023246088876
2023-04-21,2373369.500000,2388522.000000,2303224.500000,2320158.000000,2320158.000000,1752921826728
2023-04-22,2320424.500000,2328701.750000,2229651.500000,2237820.750000,2237820.750000,1703127360042
2023-04-23,2236917.250000,2286654.250000,2229014.750000,2282171.500000,2282171.500000,1076846410528
2023-04-24,2282060.250000,2282396.500000,2247945.000000,2264012.500000,2264012.500000,1049110491861
2023-04-25,2264040.750000,2294611.750000,2218239.500000,2253019.250000,2253019.250000,1449059310919
2023-04-26,2252162.500000,2326200.000000,2229102.250000,2320992.250000,2320992.250000,1453992017220
2023-04-27,2320374.250000,2461190.000000,2234205.000000,2324043.250000,2324043.250000,2604630617198
2023-04-28,2324514.500000,2441065.250000,2322423.250000,2409902.000000,2409902.000000,2220180986114
2023-04-29,2410492.750000,2418739.500000,2366883.250000,2398439.000000,2398439.000000,1434183791378
2023-04-30,2398137.000000,2407610.250000,2377799.000000,2390914.750000,2390914.750000,871615977280
2023-05-01,2390671.750000,2448425.500000,2379922.750000,2392580.250000,2392580.250000,1197744835382
2023-05-02,2389171.250000,2397586.000000,2262919.750000,2297186.500000,2297186.500000,1525560680664
2023-05-03,2296827.250000,2361157.250000,2283040.500000,2345458.500000,2345458.500000,1343864059498
2023-05-04,2345455.000000,2392831.500000,2303436.000000,2372143.250000,2372143.250000,1563881549782
2023-05-05,2374187.500000,2400254.000000,2345227.000000,2357329.500000,2357329.500000,1270581162159
2023-05-06,2357637.500000,2423635.250000,2357155.500000,2413838.000000,2413838.000000,1465951205021
2023-05-07,2414203.750000,2437191.750000,2326761.750000,2362367.750000,2362367.750000,1300636443590
2023-05-08,2362122.500000,2383036.750000,2324509.750000,2325622.000000,2325622.000000,923658450348
2023-05-09,2325252.500000,2342656.500000,2233601.750000,2265099.500000,2265099.500000,1564051837679
2023-05-10,2265164.500000,2275928.250000,2248220.000000,2270933.250000,2270933.250000,1160033066016
2023-05-11,2270593.500000,2319642.250000,2203638.250000,2262778.250000,2262778.250000,1692144585873
2023-05-12,2262723.500000,2262796.250000,2199661.000000,2216779.750000,2216779.750000,1373077919746
2023-05-13,2215702.000000,2221413.250000,2127918.750000,2204879.250000,2204879.250000,1588665267233
2023-05-14,2205108.000000,2223427.500000,2197137.750000,2201664.250000,2201664.250000,821936735537
2023-05-15,2202066.750000,2233311.750000,2193037.750000,2213713.250000,2213713.250000,823226874582
2023-05-16,2213774.500000,2273297.000000,2200195.750000,2237068.000000,2237068.000000,1185736957557
2023-05-17,2235325.750000,2244957.000000,2210659.000000,2225014.750000,2225014.750000,1047815381331
2023-05-18,2224917.500000,2264524.250000,2192516.500000,2259062.500000,2259062.500000,1248310906289
2023-05-19,2259297.500000,2263842.000000,2186301.500000,2219703.750000,2219703.750000,1259322817187
2023-05-20,2219252.500000,2246878.750000,2212653.250000,2227546.000000,2227546.000000,932680665866
2023-05-21,2227439.250000,2249528.000000,2223665.000000,2247409.500000,2247409.500000,583599048120
2023-05-22,2246484.750000,2258703.250000,2213451.250000,2218027.000000,2218027.000000,716914428433
2023-05-23,2217701.000000,2239903.500000,2199195.500000,2223963.500000,2223963.500000,915779702804
2023-05-24,2224351.500000,2271797.750000,2220931.000000,2256766.250000,2256766.250000,1135374098653
2023-05-25,2256673.000000,2256673.000000,2158066.500000,2178254.250000,2178254.250000,1348161678811
2023-05-26,2177811.250000,2199688.750000,2141126.250000,2190703.500000,2190703.500000,1146074414375
2023-05-27,2190536.000000,2223015.500000,2179066.000000,2206072.750000,2206072.750000,1049532235467
2023-05-28,2206146.500000,2220075.250000,2197969.000000,2218380.250000,2218380.250000,651602612273
2023-05-29,2218611.750000,2328011.000000,2212963.750000,2319173.750000,2319173.750000,1201073088757
2023-05-30,2318343.500000,2347777.000000,2277093.000000,2291254.000000,2291254.000000,1253671843070
2023-05-31,2291191.000000,2319063.500000,2281299.000000,2290547.750000,2290547.750000,1095655618809
2023-06-01,2290397.250000,2300637.750000,2221913.500000,2250169.000000,2250169.000000,1294266048450
2023-06-02,2250065.750000,2260621.750000,2202880.000000,2206660.500000,2206660.500000,1207738067131
2023-06-03,2207037.500000,2249899.750000,2187931.500000,2245427.500000,2245427.500000,1222636380172
